UserId,Department/Region,Young women,"Young people not in employment, education or training (NEET)",Young migrant workers,Young refugees,Young people - sexual orientation and gender identity,Young people with disabilities,Young rural workers,Young indigenous people,Other,Other (elaborated answ),year
USR-202506-0044,Region: Africa,YES,YES,YES,YES,,YES,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,,,,,,YES,,,,Youth as a whole,2024
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0002,Statistics,YES,YES,,,,YES,YES,,,,2024
USR-202506-0003,Region: Asia and the Pacific,YES,,YES,,,YES,YES,YES,,,2024
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,YES,YES,YES,,,YES,YES,YES,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0005,Region: Arab States,YES,YES,,YES,,YES,YES,,,,2024
USR-202506-0006,Region: Arab States,YES,YES,,YES,,YES,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,YES,YES,,,,YES,YES,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0009,Region: Africa,YES,,,YES,,,,,,young women and men,2024
USR-202506-0009,Region: Africa,,,,,,,,,,,2024
USR-202506-0009,Region: Africa,,,,,,,,,,,2024
USR-202506-0011,Research and Publications,,YES,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,"Our capacity building work targets mostly  constituents responsible for policies and programes for youth, very rarely  youth is targetted directly.",2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
